Monitoring Station,Latitude,Longitude
"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119
"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222
"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579
"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541
"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361
"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354
"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941
"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723
"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446
"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531
"Employment Office, Moradabad - UPPCB",28.88528,78.7388
"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638
"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362
"Lajpat Nagar, Moradabad - UPPCB",28.825341,78.7213009
"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074
"Bhelupur, Varanasi - UPPCB",25.301778,82.996789
"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408
"Maldahiya, Varanasi - UPPCB",25.32393,82.99687
"Doon University, Dehradun - UKPCB",30.269444,78.044167
"Govt. Girls Inter College, Kashipur - UKPCB",29.2124114,78.9611753
"Shivaji Nagar, Rishikesh - UKPCB",30.075911,78.2859547
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968
"SVSPA Campus, Barrackpore - WBPCB",22.7605581,88.3617589
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225
"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737
"Belur Math, Howrah - WBPCB",22.629801,88.352017
"Ghusuri, Howrah - WBPCB",22.611968,88.347422
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276
"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022
"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457
"Fort William, Kolkata - WBPCB",22.55664,88.342674
"Jadavpur, Kolkata - WBPCB",22.49929,88.36917
"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669
"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142
"Victoria, Kolkata - WBPCB",22.5448082,88.3403691
