Monitoring Station,Latitude,Longitude,State,City,Latest_Temp_Date,Latest_Temp_C
"Vile Parle West, Mumbai - MPCB",19.10861,72.83622,Maharashtra,Mumbai,2023-12-31,32.27
"Worli, Mumbai - MPCB",18.993616,72.812811,Maharashtra,Mumbai,2023-12-31,26.24
"Ambazari, Nagpur - MPCB",21.121801,79.04952,,,,
"Mahal, Nagpur - MPCB",21.14472,79.107595,,,,
"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.051753,,,,
"Ram Nagar, Nagpur - MPCB",21.143383,79.048912,,,,
"Hirawadi, Nashik - MPCB",20.021503,73.813844,,,,
"MIDC Ambad, Nashik - MPCB",19.95022,73.73148,,,,
"Pandav Nagari, Nashik - MPCB",19.959135,73.778801,,,,
"Airoli, Navi Mumbai - MPCB",19.1494,72.9986,,,,
"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,,,,
"Mahape, Navi Mumbai - MPCB",19.113505,73.008978,,,,
"Nerul, Navi Mumbai - MPCB",19.008751,73.01662,,,,
"Sector-19A Nerul, Navi Mumbai - IITM",19.044,73.0325,,,,
"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,,,,
"Tondare-Taloja, Navi Mumbai - MPCB",19.063,73.1209,,,,
"Alandi, Pune - IITM",18.675076,73.892743,,,,
"Bhosari, Pune - IITM",18.664282,73.763966,,,,
"Hadapsar, Pune - IITM",18.640051,73.848956,,,,
"Karve Road, Pune - MPCB",18.501793,73.927532,,,,
"Katraj Dairy, Pune - MPCB",18.501174,73.816553,,,,
"MIT-Kothrud, Pune - IITM",18.57304,73.927715,,,,
"Mhada Colony, Pune - IITM",18.45445,73.854155,,,,
"Revenue Colony-Shivajinagar, Pune - IITM",18.517754,73.821488,,,,
"Savitribai Phule Pune University, Pune - MPCB",18.530085,73.849598,,,,
"Transport Nagar-Nigdi, Pune - IITM",18.547056,73.826908,,,,
"Vijay Nagar, Sangli - MPCB",16.5038,74.3623,,,,
"Dnyaneshwar Nagar, Solapur - MPCB",17.633626,75.91325,,,,
"Ratandeep Housing Society, Solapur - MPCB",17.65439,75.90649,,,,
"Solapur, Solapur - MPCB",17.659919,75.906391,,,,
"Kasarvadavali, Thane - MPCB",19.26777,72.97182,,,,
"Upvan Fort, Thane - MPCB",19.222279,72.957979,,,,
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",19.235581,73.159121,,,,
"Bolinj, Virar - MPCB",19.445821,72.798823,,,,
"PWD Juction, Kohima - NPCB",25.663541,94.098988,,,,
"Hakimapada, Angul - OSPCB",20.832874,85.104082,,,,
"Kalidaspur, Balasore - OSPCB",21.51161,86.89088,,,,
"Lingraj Mandir, Bhubaneswar - OSPCB",20.24079,85.836784,,,,
"Patia, Bhubaneswar - OSPCB",20.34652,85.8163,,,,
"CDA Area, Cuttack - OSPCB",20.48891,85.84768,,,,
"Fertilizer Township, Rourkela - OSPCB",22.189722,84.862778,,,,
"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444,,,,
"Sector-2, Rourkela - OSPCB",22.245,84.881111,,,,
"Golden Temple, Amritsar - PPCB",31.62,74.876512,,,,
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,,,,
"Kalal Majra, Khanna - PPCB",30.736056,76.209694,,,,
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,,,,
"Model Town, Patiala - PPCB",30.349388,76.366642,,,,
"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858,,,,
"Mansarovar Sector-12, Jaipur - RSPCB",26.843698,75.766894,,,,
"Police Commissionerate, Jaipur - RSPCB",26.916409,75.79949,,,,
"RIICO Sitapura, Jaipur - RSPCB",26.786682,75.827928,,,,
"Sector-2 Murlipura, Jaipur - RSPCB",26.960669,75.771817,,,,
"Shastri Nagar, Jaipur - RSPCB",26.950293,75.730943,,,,
"Collectorate, Jodhpur - RSPCB",26.268249,73.019385,,,,
"Digari Kalan, Jodhpur - RSPCB",26.29581,73.082283,,,,
"Jhalamand, Jodhpur - RSPCB",26.215415,73.070156,,,,
"Mandor, Jodhpur - RSPCB",26.358805,73.047444,,,,
"Samrat Ashok Udhyan, Jodhpur - RSPCB",26.253384,72.976571,,,,
"Dhanmandi, Kota - RSPCB",25.16409,75.858137,,,,
"Nayapura, Kota - RSPCB",25.196024,75.855668,,,,
"Shrinath Puram, Kota - RSPCB",25.14389,75.821256,,,,
"Ashok Nagar, Udaipur - RSPCB",24.588617,73.63214,,,,
"Alandur Bus Depot, Chennai - CPCB",12.909916,80.107654,,,,
"Arumbakkam, Chennai - TNPCB",13.0664,80.2112,,,,
"Gandhi Nagar_Ennore, Chennai - TNPCB",13.218341,80.32027,,,,
"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642,,,,
"Manali, Chennai - CPCB",13.164544,80.26285,,,,
"Perungudi, Chennai - TNPCB",12.9533,80.2357,,,,
"Royapuram, Chennai - TNPCB",13.1036,80.2909,,,,
"Velachery Res. Area, Chennai - CPCB",13.005219,80.239812,,,,
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,,,,
"Central University, Hyderabad - TSPCB",17.460103,78.334361,,,,
"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,,,,
"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,,,,
"IDA Pashamylaram, Hyderabad - TSPCB",17.53169,78.218939,,,,
"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199,,,,
"Kokapet, Hyderabad - TSPCB",17.393559,78.339194,,,,
"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949,,,,
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,,,,
"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,,,,
"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.286195,,,,
"Sanathnagar, Hyderabad - TSPCB",17.455946,78.433215,,,,
"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,,,,
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,,,,
"Manoharpur, Agra - UPPCB",27.23711,78.01936,,,,
"Rohta, Agra - UPPCB",27.106972,78.000111,,,,
"Sanjay Palace, Agra - UPPCB",27.198658,78.005981,,,,
"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96237,,,,
"Shahjahan Garden, Agra - UPPCB",27.169338,78.03582,,,,
"Shastripuram, Agra - UPPCB",27.19862,77.92066,,,,
"Civil Lines, Bareilly - UPPCB",28.359581,79.414455,,,,
"Rajendra Nagar, Bareilly - UPPCB",28.389109,79.429637,,,,
"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,,,,
"Loni, Ghaziabad - UPPCB",28.757294,77.278792,,,,
"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839,,,,
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859,,,,
"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039,,,,
"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067,,,,
"IITK, Kanpur - IITK",26.511739,80.235136,,,,
"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612,,,,
